localidad;condiciones;porcentaje
Usme;Bueno;71.68
Usme;Malo;0.88
Usme;Muy Bueno;17.03
Usme;Muy Malo;0.24
Usme;Regular;10.18
Usaquen;Bueno;62.86
Usaquen;Malo;0.68
Usaquen;Muy Bueno;27.45
Usaquen;Muy Malo;0.13
Usaquen;Regular;8.87
Tunjuelito;Bueno;70.29
Tunjuelito;Malo;1.63
Tunjuelito;Muy Bueno;14.74
Tunjuelito;Muy Malo;0.4
Tunjuelito;Regular;12.94
Teusaquillo;Bueno;62.14
Teusaquillo;Malo;0.58
Teusaquillo;Muy Bueno;29.29
Teusaquillo;Muy Malo;0.09
Teusaquillo;Regular;7.89
Sumapaz;Bueno;59.98
Sumapaz;Malo;2.44
Sumapaz;Muy Bueno;5.68
Sumapaz;Muy Malo;0.49
Sumapaz;Regular;31.41
Suba;Bueno;69.24
Suba;Malo;0.84
Suba;Muy Bueno;18.72
Suba;Muy Malo;0.12
Suba;Regular;11.08
Santa fe;Bueno;67.73
Santa fe;Malo;1.42
Santa fe;Muy Bueno;18.37
Santa fe;Muy Malo;0.14
Santa fe;Regular;12.34
San Cristobal;Bueno;77.4
San Cristobal;Malo;1.18
San Cristobal;Muy Bueno;9.3
San Cristobal;Muy Malo;0.11
San Cristobal;Regular;12
Rafael Uribe Uribe;Bueno;73.13
Rafael Uribe Uribe;Malo;1.01
Rafael Uribe Uribe;Muy Bueno;14.02
Rafael Uribe Uribe;Muy Malo;0.08
Rafael Uribe Uribe;Regular;11.75
Puente Aranda;Bueno;67.32
Puente Aranda;Malo;1.04
Puente Aranda;Muy Bueno;19.07
Puente Aranda;Muy Malo;0.94
Puente Aranda;Regular;11.63
Los Martires;Bueno;77.26
Los Martires;Malo;0.84
Los Martires;Muy Bueno;11.42
Los Martires;Muy Malo;0.26
Los Martires;Regular;10.22
La Candelaria;Bueno;70.31
La Candelaria;Malo;1.39
La Candelaria;Muy Bueno;14.94
La Candelaria;Muy Malo;0.08
La Candelaria;Regular;13.29
Kennedy;Bueno;77
Kennedy;Malo;0.99
Kennedy;Muy Bueno;10.85
Kennedy;Muy Malo;0.34
Kennedy;Regular;10.81
Fontibon;Bueno;71.72
Fontibon;Malo;0.63
Fontibon;Muy Bueno;18.16
Fontibon;Muy Malo;0.13
Fontibon;Regular;9.37
Engativa;Bueno;72.88
Engativa;Malo;0.87
Engativa;Muy Bueno;15.22
Engativa;Muy Malo;0.14
Engativa;Regular;10.89
Ciudad Bolivar;Bueno;72.92
Ciudad Bolivar;Malo;1.09
Ciudad Bolivar;Muy Bueno;14.05
Ciudad Bolivar;Muy Malo;0.23
Ciudad Bolivar;Regular;11.71
Chapinero;Bueno;65.18
Chapinero;Malo;0.32
Chapinero;Muy Bueno;28.87
Chapinero;Muy Malo;0.27
Chapinero;Regular;5.35
Bosa;Bueno;71.65
Bosa;Malo;0.89
Bosa;Muy Bueno;16.24
Bosa;Muy Malo;0.11
Bosa;Regular;11.11
Bogotá D.C.;Bueno;71.51
Bogotá D.C.;Malo;0.94
Bogotá D.C.;Muy Bueno;16.52
Bogotá D.C.;Muy Malo;0.2
Bogotá D.C.;Regular;10.83
Barrios Unidos;Bueno;66.61
Barrios Unidos;Malo;1.08
Barrios Unidos;Muy Bueno;20.53
Barrios Unidos;Muy Malo;0.15
Barrios Unidos;Regular;11.64
Antonio Nariño;Bueno;65.74
Antonio Nariño;Malo;1.62
Antonio Nariño;Muy Bueno;22.31
Antonio Nariño;Muy Malo;0.27
Antonio Nariño;Regular;10.06
